Country,Mitigation_scenario,Forest_use,Management_scenario,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category
Denmark,RCP,MFM,AF50,0,0,0,0.013168631,1.222125547,2.033556279,2.466078349,3.521419025,4.014188314,4.614975192,5.286150783,Wood_EP_im
France,RCP,MFM,AF50,0,0,0,0.008151113,2.705227058,7.543545304,9.713212849,13.68866877,18.19900911,22.72633958,28.52807884,Wood_EP_im
Germany,RCP,MFM,AF50,0,0,0,0,0,0,0,0,3.494110604,10.26398402,20.44758506,Wood_EP_im
Greece,RCP,MFM,AF50,0,0,0,0.000954265,0.088561388,0.147361756,0.169320678,0.200047901,0.21711934,0.225424275,0.22715938,Wood_EP_im
Hungary,RCP,MFM,AF50,0,0,0,0,0.095316744,1.181679467,2.933878955,5.2377154,7.24140539,9.143971304,10.87898015,Wood_EP_im
Ireland,RCP,MFM,AF50,0,0,0,0.000491677,0.094379889,0.172909554,0.198675449,0.234729786,0.254760864,0.264505608,0.266541525,Wood_EP_im
Italy,RCP,MFM,AF50,0,0,0,0.03424562,4.412284609,8.149831158,9.364267757,11.06363457,12.00776925,12.46707309,13.5672327,Wood_EP_im
Lithuania,RCP,MFM,AF50,0,0,0,0,0,0,0,0.287383674,0.641273838,0.954857296,1.259845535,Wood_EP_im
Malta,RCP,MFM,AF50,0,0,0,3.11E-06,0.001462641,0.005129411,0.0099664,0.015650724,0.0212785,0.026793114,0.032045616,Wood_EP_im
Netherlands,RCP,MFM,AF50,0,0,0,0.011602892,1.076815824,1.79176811,2.058766128,2.432377705,2.639948926,2.740928438,2.762025535,Wood_EP_im
Poland,RCP,MFM,AF50,0,0,0,0.002266145,1.566942425,14.172253,29.53725994,50.24978968,71.2062618,90.98930647,108.8780734,Wood_EP_im
Romania,RCP,MFM,AF50,0,0,0,0,0,0,0,2.202239367,7.360939724,12.70330935,17.80410973,Wood_EP_im
Slovakia,RCP,MFM,AF50,0,0,0,0,0,0,0,0,0,0.119483145,0.273779457,Wood_EP_im
Slovenia,RCP,MFM,AF50,0,0,0,0.000432109,0.040102223,0.06672811,0.076671513,0.090585364,0.098315625,0.102076252,0.10286194,Wood_EP_im
Spain,RCP,MFM,AF50,0,0,0,0,0,0,0,0,0.006066583,0.03796358,0.285027829,Wood_EP_im
Sweden,RCP,MFM,AF50,0,0,0,0.00691838,0.642065892,1.068365791,3.700288402,9.509409662,15.72506676,21.51765398,27.53283745,Wood_EP_im
UK,RCP,MFM,AF50,0,0,0,0.013733834,2.417826324,5.814339613,9.127644209,11.66662569,12.66221768,14.01382672,15.53744822,Wood_EP_im
EU28,RCP,MFM,AF50,0,0,0,0.1005023,15.15516432,43.46540571,71.21657672,114.0643582,160.7065314,209.1562775,261.5943159,Wood_EP_im
Belgium,RCP,MFM,AF75,0,0,0.000495308,0.102862945,0.843929985,1.400628415,1.567434762,1.850135428,1.978322449,2.017094035,2.042252987,Wood_EP_im
Bulgaria,RCP,MFM,AF75,0,0,0,0,0,0,0,0,0.330727072,0.99459986,1.923585165,Wood_EP_im
Cyprus,RCP,MFM,AF75,0,0,0,0,0,0,0,0.05307716,0.126671497,0.201876705,0.279562677,Wood_EP_im
CzechRep,RCP,MFM,AF75,0,0,0,0,0,0.024779692,0.206610581,1.316809983,2.512924653,3.765186854,5.128854977,Wood_EP_im
