Ecoregion,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Category
NA0509,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0510,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0511,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0512,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0513,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0514,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0515,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0516,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0517,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0518,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0519,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0520,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0521,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0522,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0523,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0524,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0525,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0526,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0527,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0528,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0529,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0530,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0601,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0602,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0603,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0604,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0605,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0606,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0607,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0608,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0609,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0610,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0611,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0612,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0613,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0614,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0615,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0616,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0617,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0701,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0801,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0802,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0803,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0804,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0805,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0806,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0807,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0808,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0809,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0810,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0811,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0812,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0813,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0814,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA0815,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA1101,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA1102,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA1103,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA1104,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA1105,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA1106,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA1107,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA1108,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA1109,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA1110,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA1111,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA1112,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA1113,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA1114,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA1115,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA1116,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
NA1117,0,0,0,0,0,0,0,0,0,0,0,NotRel_EU
