"Scenario","Year","forest_EU_noex","forest_ex","forest_EU_ex","forest_im","EP_EU","EP_im","tot_noexport"
"REF_MFM_AF75","2030",3.23635051832887e-07,7.34611154100521e-07,3.8584703061652e-07,2.09316424325605e-06,6.55043677552889e-07,1.91694484652386e-06,2.46583533672827e-07
"REF_MFM_AF75","2040",2.96389951897531e-07,7.33843637717469e-07,3.68859689006255e-07,2.26851281548852e-06,6.53879248067525e-07,1.7360288022506e-06,2.16931680996032e-07
"REF_MFM_AF75","2050",2.81451535913481e-07,7.30134027363701e-07,3.56231951155184e-07,2.4601184571688e-06,6.21037633030227e-07,1.7069344328839e-06,1.96851133565092e-07
"REF_MFM_AF75","2060",2.76221317138727e-07,7.12859815972504e-07,3.50900628957755e-07,2.64638902478209e-06,5.85088274565461e-07,1.77085600874915e-06,1.85585293544203e-07
"REF_MFM_AF75","2070",2.66651651836283e-07,7.1091539052446e-07,3.44432842679166e-07,2.77232549277311e-06,5.80056689600295e-07,1.73115645968096e-06,1.72142183512042e-07
"REF_MFM_AF75","2080",2.55544244377188e-07,7.09612715347644e-07,3.36837148050931e-07,2.74621413668098e-06,5.82703012175591e-07,1.73943764867732e-06,1.58506095290441e-07
"REF_MFM_AF75","2090",2.59033357049999e-07,7.04337479810341e-07,3.41063063874272e-07,2.65525534295682e-06,5.96449773444036e-07,1.74371507652487e-06,1.5470791064143e-07
"REF_MFM_AF75","2100",3.02424526634923e-07,7.06692616628036e-07,3.78267116382374e-07,2.56580846228549e-06,6.05173952806729e-07,1.74055964997242e-06,1.7311696980433e-07
"REF_MFM_noAF","2000",4.23184158633953e-07,7.26298030880035e-07,4.63768442784056e-07,1.86222704192831e-06,NA,NA,3.39871368530037e-07
"REF_MFM_noAF","2010",3.86329714756331e-07,7.31476787695488e-07,4.37748273108533e-07,1.99658280348558e-06,NA,NA,3.02818163622743e-07
"REF_MFM_noAF","2020",3.52879457451201e-07,7.40093522059074e-07,4.13691922726155e-07,2.02142582581776e-06,7.14859151011599e-07,2.21275594250071e-06,2.72991824196979e-07
"REF_MFM_noAF","2030",3.44623953502941e-07,7.34853391545425e-07,4.03876582898962e-07,2.08673100533812e-06,6.59230693961227e-07,1.46645346156116e-06,2.60479412226929e-07
"REF_MFM_noAF","2040",3.38332601431257e-07,7.39000753224343e-07,4.04908880430108e-07,2.39729839295953e-06,6.61019726333522e-07,1.69657080199711e-06,2.45105693015155e-07
"REF_MFM_noAF","2050",3.43518798914941e-07,7.35433949184704e-07,4.09525561065638e-07,2.72754970429103e-06,6.27696303846423e-07,1.71326715911249e-06,2.36639429934335e-07
"REF_MFM_noAF","2060",3.56209071574482e-07,7.18968293929129e-07,4.18811587604868e-07,2.84744746298936e-06,5.98876301117998e-07,1.7731910576625e-06,2.3532815098367e-07
"REF_MFM_noAF","2070",3.71521341171554e-07,7.18410428843788e-07,4.32704928288546e-07,2.92408284314365e-06,5.95126001783525e-07,1.78829961294329e-06,2.34585236646808e-07
"REF_MFM_noAF","2080",3.83600009882557e-07,7.11813941687678e-07,4.43036186635728e-07,2.95103215723193e-06,6.00319286633984e-07,1.78660324653572e-06,2.32712008398794e-07
"REF_MFM_noAF","2090",3.94328463570591e-07,7.1280620642764e-07,4.53036432482249e-07,2.86553740827443e-06,6.06648794158946e-07,1.78923225745121e-06,2.30240143014e-07
"REF_MFM_noAF","2100",4.010350392409e-07,7.10773378235687e-07,4.58982774847541e-07,2.79588931443952e-06,6.12722437330333e-07,1.76493791064834e-06,2.26411948867119e-07
"REF_SFM_AF0","2000",4.25913229192203e-07,7.08752449514003e-07,4.63782915595122e-07,1.86570226139582e-06,NA,NA,3.42046782216695e-07
"REF_SFM_AF0","2010",3.89650552090356e-07,7.14291652590902e-07,4.38014216969395e-07,2.00200976731969e-06,NA,NA,3.05401243968647e-07
"REF_SFM_AF0","2020",3.56507009485092e-07,7.22480818680302e-07,4.13983665416391e-07,2.03796170550638e-06,7.13670684546513e-07,2.20874725453164e-06,2.76150589842338e-07
"REF_SFM_AF0","2030",3.31118161286403e-07,7.18653200978238e-07,3.89602870020384e-07,2.08969995086717e-06,6.6057462109157e-07,1.57661455985491e-06,2.51307791444752e-07
"REF_SFM_AF0","2040",3.10192584176252e-07,7.20218994247991e-07,3.78021096125526e-07,2.15783334628127e-06,6.61124028498928e-07,1.70515174595937e-06,2.28207952573059e-07
"REF_SFM_AF0","2050",2.95579912974968e-07,7.11056727052732e-07,3.64927433919134e-07,2.25794510721397e-06,6.37665078975993e-07,1.72403774454603e-06,2.10957339503315e-07
"REF_SFM_AF0","2060",2.94168544627702e-07,6.99485793375061e-07,3.62723687590906e-07,2.38313379115358e-06,6.04689918712489e-07,1.76559963188628e-06,2.04837203785667e-07
"REF_SFM_AF0","2070",2.93668244464776e-07,6.94513305969877e-07,3.62572851449958e-07,2.45098182726785e-06,6.06832020116856e-07,1.76347284073995e-06,2.00147702876214e-07
"REF_SFM_AF0","2080",2.89789027474152e-07,6.96203508479552e-07,3.59755592317896e-07,2.52168283644807e-06,6.18848195845651e-07,1.73281413360336e-06,1.94870521603654e-07
"REF_SFM_AF0","2090",2.85809589437545e-07,6.92131315675895e-07,3.56580340554135e-07,2.53304841860292e-06,6.23048628432061e-07,1.66410278183346e-06,1.89028091054645e-07
"REF_SFM_AF0","2100",3.05065050551067e-07,6.92138970142763e-07,3.72584711712926e-07,2.5364814222133e-06,6.31444721959747e-07,1.67957038440989e-06,1.98770712154794e-07
"REF_SFM_AF100","2000",3.91874915774013e-07,9.44847047420265e-07,4.65913025450498e-07,1.86415403042955e-06,NA,NA,3.14994179374542e-07
"REF_SFM_AF100","2010",3.51923097533617e-07,9.50665066580229e-07,4.41121156237023e-07,2.00048207792974e-06,NA,NA,2.761572931523e-07
"REF_SFM_AF100","2020",3.11229445920163e-07,9.63003257492524e-07,4.13427579574709e-07,2.03952739054263e-06,7.13992312988033e-07,NA,2.39037891917687e-07
"REF_SFM_AF100","2030",2.94633541602036e-07,9.49936292786494e-07,3.9631845126859e-07,2.48964547845267e-06,6.72830462177896e-07,1.76907839509331e-06,2.1962464270844e-07
"REF_SFM_AF100","2040",2.97583172208297e-07,9.51530786688137e-07,4.11997762863679e-07,2.86498467114033e-06,6.33399335106044e-07,1.63399222962591e-06,2.01434083946815e-07
"REF_SFM_AF100","2050",3.06702393355541e-07,9.48452909506779e-07,4.23872923105097e-07,3.1014461303004e-06,5.91934466805051e-07,1.7051014014219e-06,1.85889350551841e-07
"REF_SFM_AF100","2060",3.27240665616176e-07,9.2017870913305e-07,4.48271090229171e-07,3.62000440565364e-06,5.28876116563628e-07,1.77701497033503e-06,1.70098238274336e-07
"REF_SFM_AF100","2070",3.55772845400674e-07,9.1659541943045e-07,4.85284838132127e-07,3.82923096566954e-06,5.21629728782643e-07,1.68383143974755e-06,1.54448117273046e-07
"REF_SFM_AF100","2080",3.9060020054038e-07,9.14151514961899e-07,5.29449575897912e-07,3.79669509443959e-06,5.2805556149442e-07,1.71373230427881e-06,1.38620455902005e-07
"REF_SFM_AF100","2090",4.44514426113951e-07,9.13530181889366e-07,5.90997857000828e-07,3.68518275976615e-06,5.30604735904382e-07,1.61637870156128e-06,1.23204906582222e-07
