"Scenario","Globiom_Reg","Year","Annual_EU_median","Permanent_EU_median","Pasture_EU_median","Urban_EU_median","Annual_RoW_median","Permanent_RoW_median","Pasture_RoW_median","Urban_RoW_median","For_ClearCut_EU_median","For_ClearCut_im_median","For_ClearCut_ex_median","For_Retention_EU_median","For_Plantation_im_median","For_TimberPlant_EU_median","For_TimberPlant_ex_median","For_SelectionSystem_EU_median","For_Selective_im_median","EP_EU_median","EP_conv_EU_median","EP_RoW_median","EP_conv_im_median","Afforested_EU_median","Afforested_RoW_median","Regrowth_median","ForOther_Extensive_EU_median","ForOther_Extensive_RoW_median","ForOther_Intensive_EU_median","ForOther_Intensive_RoW_median"
"RCP_MFM_AF25","IndiaReg","2090",0,0,0,0,0.210298712201891,0.0347214316313443,0.0406193944115344,0.040425771042079,0,2.72042785331103e-05,0,0,0.00322844068396825,0,0,0,0,0,0,0.0712734845978492,0,0,0.00962015932147357,0.000107881221023318,0,0.0013798957618465,0,0.117032069987672
"RCP_MFM_AF25","IndiaReg","2100",0,0,0,0,0.172289745847766,0.0338031628105576,0.0305513951306635,0.0398417821547667,0,3.61971321690819e-05,0,0,0.00319275023730045,0,0,0,0,0,0,0.0767537574193493,0,0,0.01556320830851,0.000100584833496088,0,0.00133447325806554,0,0.113573479414504
"RCP_MFM_AF25","IndonesiaReg","2000",0,0,0,0,0.207818615884938,0.105360772269216,0.173940574534895,0.0664767818703306,0,0,0,0,0.00422650066597616,0,0,0,0,0,0,0,0,0,0,0.0653329834170027,0,0.00226203343304013,0,0.0799107880945801
"RCP_MFM_AF25","IndonesiaReg","2010",0,0,0,0,0.227974322999464,0.10576947876666,0.189376697020746,0.0672717593865375,0,0,0,0,0.0043351013785458,0,0,0,0,0,0,0,0,0,0.000842015835702496,0.0601974200385746,0,0.00221990282169854,0,0.0739121456339117
"RCP_MFM_AF25","IndonesiaReg","2020",0,0,0,0,0.24422400488585,0.106489150337087,0.204195367067128,0.0679332438475341,0,0,0,0,0.00435694055493282,0,0,0,0,0,0,0,3.63103336414498e-06,0,0.00111706893224553,0.0546633682093435,0,0.0024908818514536,0,0.0774216670802838
"RCP_MFM_AF25","IndonesiaReg","2030",0,0,0,0,0.251727927514839,0.106805662885294,0.196625396659977,0.0681246130539201,0,0,0,0,0.00473672375807752,0,0,0,0,0,0,0.00778292024062287,5.43735587779734e-06,0,0.00197435240149439,0.0540597715164798,0,0.00281694780975354,0,0.0801398422115128
"RCP_MFM_AF25","IndonesiaReg","2040",0,0,0,0,0.26204242942877,0.107033926698318,0.187708073523458,0.0681986728789584,0,0,0,0,0.00475763488381354,0,0,0,0,0,0,0.00787087728109443,0.000209191877382506,0,0.00342586158260523,0.054259139443752,0,0.00300973952484194,0,0.0833812372824412
"RCP_MFM_AF25","IndonesiaReg","2050",0,0,0,0,0.269812511266351,0.107271041255933,0.164250976574857,0.0681889993196476,0,0,0,0,0.00687646116212888,0,0,0,0,0,0,0.0171229314680342,0.000666835318856203,0,0.00829484202502708,0.0536735014165999,0,0.00378209021780555,0,0.0858896534728459
"RCP_MFM_AF25","IndonesiaReg","2060",0,0,0,0,0.270835952466945,0.107709289407318,0.14625528996425,0.0683830652701325,0,0,0,0,0.00670213340219106,0,0,0,0,0,0,0.0393046202232769,0.00341239771241698,0,0.0100183649177302,0.0538329128248899,0,0.00413834789469967,0,0.0887434076734899
"RCP_MFM_AF25","IndonesiaReg","2070",0,0,0,0,0.241364571937731,0.108681706121233,0.127881189030179,0.0684846990197521,0,0,0,0,0.00760317190131334,0,0,0,0,0,0,0.0879542511495516,0.00692867085133489,0,0.0115125110749758,0.051774122963475,0,0.00530642381805118,0,0.108731957355855
"RCP_MFM_AF25","IndonesiaReg","2080",0,0,0,0,0.214787082652436,0.10901398752152,0.115626200885485,0.0680305403376963,0,0,0,0,0.00850760907548119,0,0,0,0,0,0,0.109074518675916,0.00878896635046561,0,0.0150812138518349,0.0502330729655701,0,0.00809908046624843,0,0.125905070228442
"RCP_MFM_AF25","IndonesiaReg","2090",0,0,0,0,0.188839900147671,0.109756583132947,0.0904842830712349,0.0675961079688945,0,0,0,0,0.00879521709733785,0,0,0,0,0,0,0.134501287990572,0.0105906327595908,0,0.0234623011252138,0.0445860822154177,0,0.0134720835760011,0,0.160136094488386
"RCP_MFM_AF25","IndonesiaReg","2100",0,0,0,0,0.183590881615026,0.110611953002426,0.0486213732372375,0.0680634934683587,0,0,0,0,0.00906299082691555,0,0,0,0,0,0,0.149401831068408,0.0109861409219644,0,0.0381178067429077,0.0335976071534064,0,0.0209446387958099,0,0.230556473824277
"RCP_MFM_AF25","JapanReg","2000",0,0,0,0,0.00555321505453974,0.00697194623355578,0.0112255175307808,0.0153451999655895,0,5.71312082316834e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00505995710165027,0,0.000777140979550457,0,0.0114791487990676
"RCP_MFM_AF25","JapanReg","2010",0,0,0,0,0.00564151146503562,0.0069557532314445,0.0102218045278381,0.0152921182720722,0,0.000244116827828504,0,0,0,0,0,0,0,0,0,0,0,0,0.000443816039286182,0.00499722489168575,0,0.000768475308304367,0,0.0112245363189526
"RCP_MFM_AF25","JapanReg","2020",0,0,0,0,0.00567657627290293,0.0069573848447887,0.0102958645965255,0.0152790243474373,0,0.000244250276655569,0,0,0,0,0,0,0,0,0,0,0,0,0.000540070139992532,0.00498160013282515,0,0.000764716357967324,0,0.0111062838286978
"RCP_MFM_AF25","JapanReg","2030",0,0,0,0,0.00410894262513539,0.00690136545915903,0.011611531906911,0.0151543647226613,0,0.000242573259411662,0,0,0,0,0,0,0,0,0,7.92479713158307e-06,0,0,0.00066431321393539,0.00499391893760936,0,0.000764979419352578,0,0.00923532376533157
"RCP_MFM_AF25","JapanReg","2040",0,0,0,0,0.00358247975023849,0.0068872954817796,0.0114776907908356,0.0151215223036429,0,0.000242115901169805,0,0,0,0,0,0,0,0,0,1.11025620072265e-05,0,0,0.000782920187790335,0.0049822054632127,0,0.000763033248993356,0,0.00925179015552098
"RCP_MFM_AF25","JapanReg","2050",0,0,0,0,0.00304631549454314,0.00687426592352576,0.0113009126297743,0.0150883884343066,0,0.000242247775192938,0,0,0,0,0,0,0,0,0,1.26111063212503e-05,0,0,0.000905696875868723,0.00497249203575392,0,0.000761164558121327,0,0.00935113923577054
"RCP_MFM_AF25","JapanReg","2060",0,0,0,0,0.00262585154870526,0.00686063726259496,0.0109754022757665,0.0150543738992166,0,0.000263675059592112,0,0,0,0,0,0,0,0,0,5.99110742829611e-05,0,0,0.00102906226936982,0.004952635560045,0,0.000758012925582776,0,0.00937510916787439
"RCP_MFM_AF25","JapanReg","2070",0,0,0,0,0.00233187436339118,0.00685036737927652,0.0106743482699624,0.0150249620885229,0,0.000291580954464645,0,0,0,0,0,0,0,0,0,8.89035962563731e-05,0,0,0.00113353833962911,0.00493285590562475,0,0.000755138830752447,0,0.00940462136893048
