Ecoregion,Globiom_Reg,Share
IM0144,MalaysiaReg,0.958540796
IM0161,MalaysiaReg,0.007556926
IM0149,MalaysiaReg,6.28E-06
IM1001,MalaysiaReg,1
IM0103,MalaysiaReg,0.294774168
IM0104,MalaysiaReg,0.282936052
IM1404,MalaysiaReg,0.02076085
IM0153,MalaysiaReg,3.11E-05
PA0419,Former_USSR,0.808594637
PA1001,RSEA_PAC,0.28453596
PA0512,RSEA_PAC,1
PA1007,RSEA_PAC,1
PA0816,RSEA_PAC,0.886873875
PA1316,RSEA_PAC,0.860978451
PA0502,RSEA_PAC,0.632158158
PA1314,RSEA_PAC,0.632065374
PA0609,RSEA_PAC,0.189552805
PA0813,RSEA_PAC,0.346823696
PA0815,RSEA_PAC,0.007976315
PA1016,RSEA_PAC,0.269376753
PA0519,RSEA_PAC,0.107752079
PA0804,RSEA_PAC,0.451763414
PA1317,RSEA_PAC,0.110492874
PA1315,RSEA_PAC,1
PA1302,RSEA_PAC,0.321717803
PA1330,RSEA_PAC,9.24E-07
IM0163,RSEA_OPA,0.975699368
IM0132,RSEA_OPA,0.999717414
IM0303,RSEA_OPA,0.003023172
IM1404,RSEA_OPA,0.963698373
IM0501,RSEA_OPA,0.000931688
IM0401,RSEA_OPA,0.001857564
IM0202,RSEA_OPA,0.662381675
PA0516,RSEA_OPA,0.054358287
IM0117,RSEA_OPA,1
IM0116,RSEA_OPA,1
IM0205,RSEA_OPA,1
PA1003,RSEA_OPA,0.047843813
IM0402,RSEA_OPA,0.998626076
IM0140,RSEA_OPA,0.998784813
IM0120,RSEA_OPA,1.14E-05
IM0137,RSEA_OPA,0.323921398
IM0131,RSEA_OPA,0.520654918
IM0109,RSEA_OPA,0.998759102
IM0119,RSEA_OPA,1
IM0101,RSEA_OPA,0.003620482
IM0403,RSAS,0.233583074
PA1021,RSAS,0.31219779
IM0166,RSAS,4.22E-06
AT1010,WesternAf,1
AT0103,WesternAf,0.234583856
AT1401,WesternAf,0.645999696
AT0710,WesternAf,0.218768192
AT0712,WesternAf,0.216326472
AT0107,WesternAf,0.307738185
AT0106,WesternAf,1
AT0122,WesternAf,1
PA0520,ROWE,1
PA1110,ROWE,0.771948811
PA1106,ROWE,0.065232783
PA0608,ROWE,0.044975953
PA0436,ROWE,0.010507649
PA0429,ROWE,0.00301558
AT0801,MidEastNorthAfr,1
AT1306,MidEastNorthAfr,1
AT1320,MidEastNorthAfr,1
AT1302,MidEastNorthAfr,1
IM1303,RSAS,0.505096331
PA1328,RSAS,0.116484749
IM1302,RSAS,1
IM0149,RSAS,6.39E-05
PA1009,RSAS,0.016964798
IM1304,RSAS,0.32914639
IM1403,RSAS,0.505292599
IM0901,RSAS,0.122636997
IM0143,RSEA_OPA,1
IM0129,RSEA_OPA,1
IM0114,RSEA_OPA,1
IM0122,RSEA_OPA,1
IM0123,RSEA_OPA,1
IM0156,RSEA_OPA,1
IM0128,RSEA_OPA,1
IM0302,RSEA_OPA,1
IM0125,RSEA_OPA,0.931165306
IM0130,RSEA_OPA,1
IM0102,RSEA_OPA,0.008715766
PA0439,SouthKorea,1
PA0426,SouthKorea,0.011354116
PA0413,SouthKorea,0.730049889
PA0435,RCEU,0.065615603
AT1013,EasternAf,0.724681692
AT1321,MidEastNorthAfr,1
IM0146,RSEA_OPA,0.084304548
AT1402,WesternAf,0.03015004
AT1319,WesternAf,1
AT1307,WesternAf,1
IM1301,RSAS,0.006939943
IM0212,RSAS,1
IM0154,RSAS,1
IM0155,RSAS,1
AT0905,WesternAf,0.995879506
PA1333,WesternAf,0.260301862
AT0108,WesternAf,0.072275918
AT0721,WesternAf,0.037733225
Lake,EU,0.007190057
PA0432,ROWE,0.000806669
PA0445,ROWE,0.036130229
PA0501,ROWE,0.156130043
