Ecoregion,Annual_median,Permanent_median,Pasture_median,Urban_median,ClearCut_median,Retention_median,PlantationFuel_median,Plantation_median,SelectionSystem_median,SelectiveLogging_median,Afforested_median,ForExtensive_median,ForIntensive_median
IM1403,1.75E-15,1.48E-15,8.34E-16,2.38E-15,7.70E-16,3.02E-16,7.70E-16,7.70E-16,3.02E-16,3.02E-16,0.00E+00,3.02E-16,7.70E-16
IM1404,4.34E-15,4.11E-15,1.80E-15,5.86E-15,2.17E-15,7.98E-16,2.17E-15,2.17E-15,7.98E-16,7.98E-16,0.00E+00,7.98E-16,2.17E-15
IM1405,5.80E-15,5.19E-15,2.07E-15,9.14E-15,2.72E-15,1.44E-15,2.72E-15,2.72E-15,1.44E-15,1.44E-15,0.00E+00,1.44E-15,2.72E-15
IM1406,2.00E-15,1.64E-15,6.96E-16,2.58E-15,9.72E-16,3.44E-16,9.72E-16,9.72E-16,3.44E-16,3.44E-16,0.00E+00,3.44E-16,9.72E-16
NA0201,1.05E-15,6.27E-16,8.19E-16,2.22E-15,4.31E-16,2.74E-16,4.31E-16,4.31E-16,2.74E-16,2.74E-16,0.00E+00,2.74E-16,4.31E-16
NA0302,4.71E-15,4.34E-15,2.98E-15,7.84E-15,2.36E-15,1.25E-15,2.36E-15,2.36E-15,1.25E-15,1.25E-15,0.00E+00,1.25E-15,2.36E-15
NA0303,1.39E-14,1.19E-14,9.21E-15,2.08E-14,6.39E-15,2.99E-15,6.39E-15,6.39E-15,2.99E-15,2.99E-15,0.00E+00,2.99E-15,6.39E-15
NA0401,4.48E-16,3.75E-16,1.67E-16,7.52E-16,2.51E-16,1.37E-16,2.51E-16,2.51E-16,1.37E-16,1.37E-16,0.00E+00,1.37E-16,2.51E-16
NA0402,9.01E-16,7.28E-16,3.77E-16,1.40E-15,5.22E-16,2.74E-16,5.22E-16,5.22E-16,2.74E-16,2.74E-16,0.00E+00,2.74E-16,5.22E-16
NA0403,2.29E-15,1.86E-15,1.03E-15,3.19E-15,1.41E-15,6.15E-16,1.41E-15,1.41E-15,6.15E-16,6.15E-16,0.00E+00,6.15E-16,1.41E-15
NA0404,6.84E-16,5.34E-16,2.99E-16,9.30E-16,3.53E-16,1.38E-16,3.53E-16,3.53E-16,1.38E-16,1.38E-16,0.00E+00,1.38E-16,3.53E-16
NA0405,1.15E-15,8.73E-16,6.07E-16,1.59E-15,5.45E-16,1.98E-16,5.45E-16,5.45E-16,1.98E-16,1.98E-16,0.00E+00,1.98E-16,5.45E-16
NA0406,1.67E-16,1.51E-16,5.76E-17,3.08E-16,1.06E-16,5.55E-17,1.06E-16,1.06E-16,5.55E-17,5.55E-17,0.00E+00,5.55E-17,1.06E-16
NA0407,3.64E-16,2.98E-16,1.35E-16,5.14E-16,1.97E-16,7.86E-17,1.97E-16,1.97E-16,7.86E-17,7.86E-17,0.00E+00,7.86E-17,1.97E-16
NA0408,1.59E-16,1.33E-16,8.15E-17,3.20E-16,8.53E-17,5.02E-17,8.53E-17,8.53E-17,5.02E-17,5.02E-17,0.00E+00,5.02E-17,8.53E-17
NA0409,1.09E-15,8.49E-16,3.59E-16,1.44E-15,5.49E-16,1.81E-16,5.49E-16,5.49E-16,1.81E-16,1.81E-16,0.00E+00,1.81E-16,5.49E-16
NA0410,2.33E-16,2.03E-16,8.23E-17,4.80E-16,1.47E-16,8.95E-17,1.47E-16,1.47E-16,8.95E-17,8.95E-17,0.00E+00,8.95E-17,1.47E-16
NA0411,6.24E-16,5.08E-16,2.97E-16,9.96E-16,3.68E-16,1.78E-16,3.68E-16,3.68E-16,1.78E-16,1.78E-16,0.00E+00,1.78E-16,3.68E-16
NA0412,1.81E-15,1.49E-15,8.21E-16,2.53E-15,1.07E-15,4.47E-16,1.07E-15,1.07E-15,4.47E-16,4.47E-16,0.00E+00,4.47E-16,1.07E-15
NA0413,9.06E-16,7.88E-16,3.67E-16,1.37E-15,5.32E-16,2.40E-16,5.32E-16,5.32E-16,2.40E-16,2.40E-16,0.00E+00,2.40E-16,5.32E-16
NA0414,6.70E-16,5.21E-16,2.42E-16,8.50E-16,3.19E-16,1.13E-16,3.19E-16,3.19E-16,1.13E-16,1.13E-16,0.00E+00,1.13E-16,3.19E-16
NA0415,3.80E-16,3.05E-16,1.25E-16,5.36E-16,2.03E-16,6.99E-17,2.03E-16,2.03E-16,6.99E-17,6.99E-17,0.00E+00,6.99E-17,2.03E-16
NA0416,2.22E-16,1.97E-16,7.94E-17,3.73E-16,1.38E-16,6.04E-17,1.38E-16,1.38E-16,6.04E-17,6.04E-17,0.00E+00,6.04E-17,1.38E-16
NA0417,2.81E-15,1.54E-15,1.49E-15,3.84E-15,1.12E-15,7.77E-16,1.12E-15,1.12E-15,7.77E-16,7.77E-16,0.00E+00,7.77E-16,1.12E-15
NA0501,1.12E-16,9.58E-17,7.35E-17,2.55E-16,5.44E-17,3.44E-17,5.44E-17,5.44E-17,3.44E-17,3.44E-17,0.00E+00,3.44E-17,5.44E-17
NA0502,9.50E-17,8.25E-17,4.92E-17,1.80E-16,4.62E-17,2.29E-17,4.62E-17,4.62E-17,2.29E-17,2.29E-17,0.00E+00,2.29E-17,4.62E-17
NA0503,1.29E-15,8.19E-16,1.23E-15,2.48E-15,4.30E-16,2.31E-16,4.30E-16,4.30E-16,2.31E-16,2.31E-16,0.00E+00,2.31E-16,4.30E-16
NA0504,8.79E-16,8.35E-16,4.12E-16,1.40E-15,5.43E-16,2.12E-16,5.43E-16,5.43E-16,2.12E-16,2.12E-16,0.00E+00,2.12E-16,5.43E-16
NA0505,4.78E-16,2.56E-16,4.79E-16,9.71E-16,1.35E-16,6.75E-17,1.35E-16,1.35E-16,6.75E-17,6.75E-17,0.00E+00,6.75E-17,1.35E-16
NA0506,2.42E-16,2.06E-16,1.74E-16,5.47E-16,1.15E-16,8.64E-17,1.15E-16,1.15E-16,8.64E-17,8.64E-17,0.00E+00,8.64E-17,1.15E-16
NA0507,2.69E-16,2.13E-16,1.85E-16,5.63E-16,1.17E-16,8.84E-17,1.17E-16,1.17E-16,8.84E-17,8.84E-17,0.00E+00,8.84E-17,1.17E-16
NA0508,1.45E-15,1.01E-15,5.50E-16,2.58E-15,6.81E-16,5.99E-16,6.81E-16,6.81E-16,5.99E-16,5.99E-16,0.00E+00,5.99E-16,6.81E-16
NA0509,8.64E-17,8.33E-17,5.77E-17,2.00E-16,4.46E-17,2.45E-17,4.46E-17,4.46E-17,2.45E-17,2.45E-17,0.00E+00,2.45E-17,4.46E-17
NA0510,1.40E-15,7.99E-16,5.77E-16,2.70E-15,5.13E-16,6.29E-16,5.13E-16,5.13E-16,6.29E-16,6.29E-16,0.00E+00,6.29E-16,5.13E-16
NA0511,4.38E-16,3.95E-16,3.35E-16,8.87E-16,2.09E-16,9.62E-17,2.09E-16,2.09E-16,9.62E-17,9.62E-17,0.00E+00,9.62E-17,2.09E-16
NA0512,6.75E-16,4.23E-16,5.07E-16,1.18E-15,2.61E-16,1.50E-16,2.61E-16,2.61E-16,1.50E-16,1.50E-16,0.00E+00,1.50E-16,2.61E-16
NA0513,4.77E-15,4.46E-15,2.45E-15,6.77E-15,2.44E-15,1.10E-15,2.44E-15,2.44E-15,1.10E-15,1.10E-15,0.00E+00,1.10E-15,2.44E-15
NA0514,1.09E-16,1.07E-16,5.94E-17,2.47E-16,6.03E-17,3.53E-17,6.03E-17,6.03E-17,3.53E-17,3.53E-17,0.00E+00,3.53E-17,6.03E-17
NA0515,1.77E-15,4.93E-16,1.94E-15,3.38E-15,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
NA0516,1.64E-15,1.17E-15,1.19E-15,2.89E-15,7.81E-16,4.65E-16,7.81E-16,7.81E-16,4.65E-16,4.65E-16,0.00E+00,4.65E-16,7.81E-16
NA0517,1.74E-15,1.32E-15,6.99E-16,2.39E-15,8.45E-16,4.01E-16,8.45E-16,8.45E-16,4.01E-16,4.01E-16,0.00E+00,4.01E-16,8.45E-16
NA0518,2.02E-16,1.67E-16,1.30E-16,4.32E-16,9.45E-17,6.39E-17,9.45E-17,9.45E-17,6.39E-17,6.39E-17,0.00E+00,6.39E-17,9.45E-17
NA0519,2.56E-15,1.61E-15,1.10E-15,4.57E-15,1.15E-15,1.02E-15,1.15E-15,1.15E-15,1.02E-15,1.02E-15,0.00E+00,1.02E-15,1.15E-15
NA0520,2.18E-16,1.93E-16,2.04E-16,5.62E-16,9.80E-17,6.14E-17,9.80E-17,9.80E-17,6.14E-17,6.14E-17,0.00E+00,6.14E-17,9.80E-17
NA0521,NaN,8.11E-17,7.09E-17,2.02E-16,4.21E-17,2.07E-17,4.21E-17,4.21E-17,2.07E-17,2.07E-17,0.00E+00,2.07E-17,4.21E-17
NA0522,2.29E-16,1.97E-16,1.33E-16,4.77E-16,1.08E-16,7.09E-17,1.08E-16,1.08E-16,7.09E-17,7.09E-17,0.00E+00,7.09E-17,1.08E-16
NA0523,1.30E-15,1.12E-15,5.61E-16,1.91E-15,6.15E-16,3.55E-16,6.15E-16,6.15E-16,3.55E-16,3.55E-16,0.00E+00,3.55E-16,6.15E-16
NA0524,1.28E-15,1.03E-15,6.65E-16,2.08E-15,6.89E-16,3.71E-16,6.89E-16,6.89E-16,3.71E-16,3.71E-16,0.00E+00,3.71E-16,6.89E-16
NA0525,8.24E-17,8.86E-17,1.10E-16,2.41E-16,3.73E-17,1.62E-17,3.73E-17,3.73E-17,1.62E-17,1.62E-17,0.00E+00,1.62E-17,3.73E-17
NA0526,NaN,NaN,7.12E-15,NaN,1.41E-15,1.66E-15,1.41E-15,1.41E-15,1.66E-15,1.66E-15,0.00E+00,1.66E-15,1.41E-15
NA0527,2.43E-15,1.86E-15,1.53E-15,4.30E-15,1.30E-15,7.78E-16,1.30E-15,1.30E-15,7.78E-16,7.78E-16,0.00E+00,7.78E-16,1.30E-15
NA0528,2.57E-16,1.79E-16,2.11E-16,5.03E-16,9.87E-17,5.34E-17,9.87E-17,9.87E-17,5.34E-17,5.34E-17,0.00E+00,5.34E-17,9.87E-17
NA0529,2.40E-15,1.97E-15,1.12E-15,3.34E-15,1.21E-15,5.74E-16,1.21E-15,1.21E-15,5.74E-16,5.74E-16,0.00E+00,5.74E-16,1.21E-15
NA0530,4.30E-16,2.92E-16,3.59E-16,8.83E-16,1.72E-16,1.12E-16,1.72E-16,1.72E-16,1.12E-16,1.12E-16,0.00E+00,1.12E-16,1.72E-16
NA0601,1.79E-16,1.61E-16,9.65E-17,3.36E-16,1.05E-16,3.10E-17,1.05E-16,1.05E-16,3.10E-17,3.10E-17,0.00E+00,3.10E-17,1.05E-16
NA0602,8.09E-17,7.36E-17,3.86E-17,1.63E-16,4.88E-17,2.50E-17,4.88E-17,4.88E-17,2.50E-17,2.50E-17,0.00E+00,2.50E-17,4.88E-17
NA0603,7.28E-17,7.74E-17,5.25E-17,1.80E-16,5.00E-17,1.96E-17,5.00E-17,5.00E-17,1.96E-17,1.96E-17,0.00E+00,1.96E-17,5.00E-17
NA0604,NaN,NaN,6.82E-17,NaN,4.95E-17,1.98E-17,4.95E-17,4.95E-17,1.98E-17,1.98E-17,0.00E+00,1.98E-17,4.95E-17
NA0605,8.33E-17,8.11E-17,3.34E-17,1.68E-16,5.60E-17,2.73E-17,5.60E-17,5.60E-17,2.73E-17,2.73E-17,0.00E+00,2.73E-17,5.60E-17
NA0606,2.66E-17,2.59E-17,3.04E-17,7.46E-17,1.66E-17,6.97E-18,1.66E-17,1.66E-17,6.97E-18,6.97E-18,0.00E+00,6.97E-18,1.66E-17
NA0607,5.72E-17,6.06E-17,6.88E-17,1.62E-16,3.78E-17,1.03E-17,3.78E-17,3.78E-17,1.03E-17,1.03E-17,0.00E+00,1.03E-17,3.78E-17
NA0608,1.12E-16,9.30E-17,4.77E-17,1.89E-16,6.40E-17,2.37E-17,6.40E-17,6.40E-17,2.37E-17,2.37E-17,0.00E+00,2.37E-17,6.40E-17
NA0609,5.70E-17,6.18E-17,5.01E-17,1.46E-16,3.99E-17,1.42E-17,3.99E-17,3.99E-17,1.42E-17,1.42E-17,0.00E+00,1.42E-17,3.99E-17
NA0610,8.41E-17,7.85E-17,4.78E-17,1.77E-16,5.21E-17,2.21E-17,5.21E-17,5.21E-17,2.21E-17,2.21E-17,0.00E+00,2.21E-17,5.21E-17
NA0611,NaN,5.19E-17,3.20E-17,1.01E-16,3.21E-17,9.76E-18,3.21E-17,3.21E-17,9.76E-18,9.76E-18,0.00E+00,9.76E-18,3.21E-17
NA0612,NaN,NaN,7.12E-17,1.62E-16,3.89E-17,7.38E-18,3.89E-17,3.89E-17,7.38E-18,7.38E-18,0.00E+00,7.38E-18,3.89E-17
NA0613,8.80E-17,7.52E-17,5.18E-17,NaN,4.97E-17,2.24E-17,4.97E-17,4.97E-17,2.24E-17,2.24E-17,0.00E+00,2.24E-17,4.97E-17
NA0614,3.44E-17,3.70E-17,4.51E-17,NaN,2.31E-17,6.03E-18,2.31E-17,2.31E-17,6.03E-18,6.03E-18,0.00E+00,6.03E-18,2.31E-17
NA0615,NaN,NaN,4.87E-17,NaN,1.38E-16,4.86E-17,1.38E-16,1.38E-16,4.86E-17,4.86E-17,0.00E+00,4.86E-17,1.38E-16
NA0616,3.93E-17,4.75E-17,4.73E-17,NaN,2.99E-17,8.63E-18,2.99E-17,2.99E-17,8.63E-18,8.63E-18,0.00E+00,8.63E-18,2.99E-17
NA0617,NaN,NaN,NaN,1.98E-16,6.47E-17,3.64E-17,6.47E-17,6.47E-17,3.64E-17,3.64E-17,0.00E+00,3.64E-17,6.47E-17
NA0701,1.38E-15,1.12E-15,6.96E-16,2.08E-15,6.49E-16,2.31E-16,6.49E-16,6.49E-16,2.31E-16,2.31E-16,0.00E+00,2.31E-16,6.49E-16
NA0801,3.75E-15,2.32E-15,2.00E-15,5.12E-15,1.38E-15,6.78E-16,1.38E-15,1.38E-15,6.78E-16,6.78E-16,0.00E+00,6.78E-16,1.38E-15
NA0802,1.62E-16,1.40E-16,6.28E-17,2.51E-16,9.76E-17,3.38E-17,9.76E-17,9.76E-17,3.38E-17,3.38E-17,0.00E+00,3.38E-17,9.76E-17
NA0803,5.73E-16,3.96E-16,3.38E-16,8.72E-16,2.17E-16,8.06E-17,2.17E-16,2.17E-16,8.06E-17,8.06E-17,0.00E+00,8.06E-17,2.17E-16
NA0804,6.04E-16,4.47E-16,2.88E-16,8.48E-16,2.70E-16,1.03E-16,2.70E-16,2.70E-16,1.03E-16,1.03E-16,0.00E+00,1.03E-16,2.70E-16
NA0805,4.04E-16,3.34E-16,1.59E-16,5.83E-16,2.28E-16,8.31E-17,2.28E-16,2.28E-16,8.31E-17,8.31E-17,0.00E+00,8.31E-17,2.28E-16
NA0806,2.26E-15,1.73E-15,1.50E-15,3.25E-15,1.14E-15,2.90E-16,1.14E-15,1.14E-15,2.90E-16,2.90E-16,0.00E+00,2.90E-16,1.14E-15
NA0807,5.04E-16,3.68E-16,2.65E-16,7.36E-16,2.15E-16,7.49E-17,2.15E-16,2.15E-16,7.49E-17,7.49E-17,0.00E+00,7.49E-17,2.15E-16
NA0808,2.37E-16,1.53E-16,1.54E-16,3.87E-16,9.78E-17,3.52E-17,9.78E-17,9.78E-17,3.52E-17,3.52E-17,0.00E+00,3.52E-17,9.78E-17
NA0809,2.89E-16,2.01E-16,1.96E-16,4.95E-16,1.17E-16,3.30E-17,1.17E-16,1.17E-16,3.30E-17,3.30E-17,0.00E+00,3.30E-17,1.17E-16
NA0810,2.42E-16,2.13E-16,1.11E-16,4.08E-16,1.39E-16,4.62E-17,1.39E-16,1.39E-16,4.62E-17,4.62E-17,0.00E+00,4.62E-17,1.39E-16
NA0811,2.33E-16,1.58E-16,1.49E-16,3.87E-16,9.54E-17,2.89E-17,9.54E-17,9.54E-17,2.89E-17,2.89E-17,0.00E+00,2.89E-17,9.54E-17
NA0812,2.63E-16,2.22E-16,1.11E-16,4.15E-16,1.52E-16,5.36E-17,1.52E-16,1.52E-16,5.36E-17,5.36E-17,0.00E+00,5.36E-17,1.52E-16
NA0813,3.85E-16,2.14E-16,2.50E-16,5.93E-16,1.33E-16,5.88E-17,1.33E-16,1.33E-16,5.88E-17,5.88E-17,0.00E+00,5.88E-17,1.33E-16
NA0814,2.19E-15,1.67E-15,1.31E-15,2.95E-15,1.12E-15,2.72E-16,1.12E-15,1.12E-15,2.72E-16,2.72E-16,0.00E+00,2.72E-16,1.12E-15
NA0815,5.53E-16,4.08E-16,3.60E-16,8.63E-16,2.08E-16,7.11E-17,2.08E-16,2.08E-16,7.11E-17,7.11E-17,0.00E+00,7.11E-17,2.08E-16
NA1101,7.24E-17,6.14E-17,8.47E-17,1.84E-16,3.97E-17,1.06E-17,3.97E-17,3.97E-17,1.06E-17,1.06E-17,0.00E+00,1.06E-17,3.97E-17
NA1102,3.79E-15,1.80E-15,4.39E-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
NA1103,NaN,NaN,6.53E-17,1.51E-16,3.83E-17,6.55E-18,3.83E-17,3.83E-17,6.55E-18,6.55E-18,0.00E+00,6.55E-18,3.83E-17
NA1104,7.32E-17,8.47E-17,8.40E-17,NaN,5.40E-17,1.41E-17,5.40E-17,5.40E-17,1.41E-17,1.41E-17,0.00E+00,1.41E-17,5.40E-17
NA1105,NaN,NaN,8.74E-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
NA1106,1.61E-16,1.90E-16,1.99E-16,4.73E-16,1.14E-16,2.52E-17,1.14E-16,1.14E-16,2.52E-17,2.52E-17,0.00E+00,2.52E-17,1.14E-16
NA1107,2.30E-16,2.75E-16,2.36E-16,6.17E-16,1.63E-16,3.93E-17,1.63E-16,1.63E-16,3.93E-17,3.93E-17,0.00E+00,3.93E-17,1.63E-16
NA1108,5.05E-17,3.82E-17,5.85E-17,NaN,2.44E-17,6.97E-18,2.44E-17,2.44E-17,6.97E-18,6.97E-18,0.00E+00,6.97E-18,2.44E-17
NA1109,NaN,NaN,2.71E-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
NA1110,NaN,NaN,2.25E-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
NA1111,5.17E-17,5.04E-17,6.75E-17,1.48E-16,3.21E-17,9.08E-18,3.21E-17,3.21E-17,9.08E-18,9.08E-18,0.00E+00,9.08E-18,3.21E-17
NA1112,NaN,NaN,2.26E-17,5.01E-17,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
NA1113,NaN,NaN,6.44E-18,1.05E-17,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
NA1114,NaN,NaN,2.97E-17,6.14E-17,1.19E-17,3.10E-18,1.19E-17,1.19E-17,3.10E-18,3.10E-18,0.00E+00,3.10E-18,1.19E-17
NA1115,1.49E-17,1.86E-17,2.37E-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
NA1116,NaN,NaN,8.51E-17,NaN,2.75E-17,6.56E-18,2.75E-17,2.75E-17,6.56E-18,6.56E-18,0.00E+00,6.56E-18,2.75E-17
NA1117,1.71E-16,1.10E-16,1.87E-16,4.11E-16,7.71E-17,3.50E-17,7.71E-17,7.71E-17,3.50E-17,3.50E-17,0.00E+00,3.50E-17,7.71E-17
NA1118,NaN,NaN,3.71E-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
NA1201,3.10E-15,2.29E-15,2.45E-15,5.82E-15,1.47E-15,7.64E-16,1.47E-15,1.47E-15,7.64E-16,7.64E-16,0.00E+00,7.64E-16,1.47E-15
NA1202,2.47E-15,1.72E-15,1.84E-15,4.34E-15,1.16E-15,4.63E-16,1.16E-15,1.16E-15,4.63E-16,4.63E-16,0.00E+00,4.63E-16,1.16E-15
NA1203,3.18E-15,2.45E-15,2.79E-15,5.85E-15,1.72E-15,6.79E-16,1.72E-15,1.72E-15,6.79E-16,6.79E-16,0.00E+00,6.79E-16,1.72E-15
NA1301,3.74E-15,3.08E-15,3.43E-15,6.44E-15,1.47E-15,6.58E-16,1.47E-15,1.47E-15,6.58E-16,6.58E-16,0.00E+00,6.58E-16,1.47E-15
NA1302,3.81E-15,2.99E-15,2.78E-15,6.04E-15,1.72E-15,6.36E-16,1.72E-15,1.72E-15,6.36E-16,6.36E-16,0.00E+00,6.36E-16,1.72E-15
NA1303,2.06E-15,1.85E-15,1.65E-15,3.49E-15,8.35E-16,3.36E-16,8.35E-16,8.35E-16,3.36E-16,3.36E-16,0.00E+00,3.36E-16,8.35E-16
NA1304,5.08E-16,4.04E-16,5.51E-16,1.08E-15,2.30E-16,7.54E-17,2.30E-16,2.30E-16,7.54E-17,7.54E-17,0.00E+00,7.54E-17,2.30E-16
NA1305,3.96E-16,2.88E-16,4.39E-16,7.86E-16,1.69E-16,5.22E-17,1.69E-16,1.69E-16,5.22E-17,5.22E-17,0.00E+00,5.22E-17,1.69E-16
NA1306,1.12E-14,8.54E-15,9.88E-15,1.83E-14,3.93E-15,1.75E-15,3.93E-15,3.93E-15,1.75E-15,1.75E-15,0.00E+00,1.75E-15,3.93E-15
NA1307,4.54E-15,3.73E-15,3.50E-15,7.18E-15,1.80E-15,7.24E-16,1.80E-15,1.80E-15,7.24E-16,7.24E-16,0.00E+00,7.24E-16,1.80E-15
NA1308,1.51E-15,1.24E-15,1.45E-15,2.63E-15,6.14E-16,2.38E-16,6.14E-16,6.14E-16,2.38E-16,2.38E-16,0.00E+00,2.38E-16,6.14E-16
NA1309,4.20E-16,2.10E-16,3.70E-16,7.66E-16,1.26E-16,6.05E-17,1.26E-16,1.26E-16,6.05E-17,6.05E-17,0.00E+00,6.05E-17,1.26E-16
NA1310,1.93E-15,1.66E-15,1.59E-15,3.19E-15,7.97E-16,3.19E-16,7.97E-16,7.97E-16,3.19E-16,3.19E-16,0.00E+00,3.19E-16,7.97E-16
NA1311,3.25E-15,2.50E-15,2.08E-15,4.78E-15,1.28E-15,5.62E-16,1.28E-15,1.28E-15,5.62E-16,5.62E-16,0.00E+00,5.62E-16,1.28E-15
NA1312,1.33E-15,1.15E-15,9.52E-16,2.15E-15,5.75E-16,2.11E-16,5.75E-16,5.75E-16,2.11E-16,2.11E-16,0.00E+00,2.11E-16,5.75E-16
NA1313,2.89E-16,1.76E-16,3.29E-16,6.68E-16,1.09E-16,3.28E-17,1.09E-16,1.09E-16,3.28E-17,3.28E-17,0.00E+00,3.28E-17,1.09E-16
NT0101,6.01E-15,4.65E-15,2.83E-15,7.94E-15,3.50E-15,9.97E-16,3.50E-15,3.50E-15,9.97E-16,9.97E-16,0.00E+00,9.97E-16,3.50E-15
NT0102,1.14E-14,8.31E-15,6.28E-15,1.53E-14,5.80E-15,2.07E-15,5.80E-15,5.80E-15,2.07E-15,2.07E-15,0.00E+00,2.07E-15,5.80E-15
NT0103,1.60E-14,1.20E-14,9.52E-15,2.27E-14,9.34E-15,2.51E-15,9.34E-15,9.34E-15,2.51E-15,2.51E-15,0.00E+00,2.51E-15,9.34E-15
NT0104,7.44E-15,5.14E-15,4.33E-15,1.06E-14,4.03E-15,1.03E-15,4.03E-15,4.03E-15,1.03E-15,1.03E-15,0.00E+00,1.03E-15,4.03E-15
NT0105,2.72E-15,2.51E-15,2.20E-15,4.77E-15,1.74E-15,2.96E-16,1.74E-15,1.74E-15,2.96E-16,2.96E-16,0.00E+00,2.96E-16,1.74E-15
NT0106,8.04E-16,2.09E-16,5.14E-16,1.14E-15,3.83E-16,2.11E-16,3.83E-16,3.83E-16,2.11E-16,2.11E-16,0.00E+00,2.11E-16,3.83E-16
NT0107,1.08E-15,7.46E-16,5.70E-16,1.85E-15,6.13E-16,2.87E-16,6.13E-16,6.13E-16,2.87E-16,2.87E-16,0.00E+00,2.87E-16,6.13E-16
NT0108,5.17E-15,3.57E-15,2.62E-15,6.93E-15,2.80E-15,8.52E-16,2.80E-15,2.80E-15,8.52E-16,8.52E-16,0.00E+00,8.52E-16,2.80E-15
NT0109,4.30E-14,3.90E-14,2.81E-14,6.42E-14,2.66E-14,6.55E-15,2.66E-14,2.66E-14,6.55E-15,6.55E-15,0.00E+00,6.55E-15,2.66E-14
NT0111,1.46E-14,1.17E-14,5.39E-15,1.97E-14,8.32E-15,3.63E-15,8.32E-15,8.32E-15,3.63E-15,3.63E-15,0.00E+00,3.63E-15,8.32E-15
NT0112,6.58E-14,5.47E-14,3.00E-14,8.20E-14,3.73E-14,1.41E-14,3.73E-14,3.73E-14,1.41E-14,1.41E-14,0.00E+00,1.41E-14,3.73E-14
NT0113,4.97E-14,3.64E-14,2.09E-14,5.94E-14,2.59E-14,1.03E-14,2.59E-14,2.59E-14,1.03E-14,1.03E-14,0.00E+00,1.03E-14,2.59E-14
NT0114,1.56E-13,1.24E-13,6.43E-14,1.80E-13,6.94E-14,2.81E-14,6.94E-14,6.94E-14,2.81E-14,2.81E-14,0.00E+00,2.81E-14,6.94E-14
NT0115,1.67E-14,1.37E-14,1.03E-14,2.70E-14,1.01E-14,3.51E-15,1.01E-14,1.01E-14,3.51E-15,3.51E-15,0.00E+00,3.51E-15,1.01E-14
NT0116,NaN,NaN,2.82E-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00E+00,NaN,NaN
NT0117,4.90E-14,4.54E-14,3.04E-14,7.42E-14,3.34E-14,1.01E-14,3.34E-14,3.34E-14,1.01E-14,1.01E-14,0.00E+00,1.01E-14,3.34E-14
NT0118,1.81E-14,1.55E-14,1.26E-14,2.81E-14,1.12E-14,2.63E-15,1.12E-14,1.12E-14,2.63E-15,2.63E-15,0.00E+00,2.63E-15,1.12E-14
NT0119,2.78E-14,2.34E-14,1.52E-14,3.89E-14,1.76E-14,5.83E-15,1.76E-14,1.76E-14,5.83E-15,5.83E-15,0.00E+00,5.83E-15,1.76E-14
NT0120,4.08E-14,3.25E-14,1.64E-14,4.89E-14,2.35E-14,6.86E-15,2.35E-14,2.35E-14,6.86E-15,6.86E-15,0.00E+00,6.86E-15,2.35E-14
NT0121,3.55E-14,3.09E-14,2.45E-14,5.56E-14,2.22E-14,6.01E-15,2.22E-14,2.22E-14,6.01E-15,6.01E-15,0.00E+00,6.01E-15,2.22E-14
NT0122,6.38E-14,5.25E-14,3.64E-14,9.70E-14,3.87E-14,1.21E-14,3.87E-14,3.87E-14,1.21E-14,1.21E-14,0.00E+00,1.21E-14,3.87E-14
NT0124,4.70E-15,3.86E-15,3.00E-15,7.45E-15,3.12E-15,1.03E-15,3.12E-15,3.12E-15,1.03E-15,1.03E-15,0.00E+00,1.03E-15,3.12E-15
NT0125,2.05E-15,1.44E-15,8.27E-16,3.47E-15,1.25E-15,6.32E-16,1.25E-15,1.25E-15,6.32E-16,6.32E-16,0.00E+00,6.32E-16,1.25E-15
NT0126,3.07E-15,2.30E-15,1.20E-15,4.81E-15,2.03E-15,7.83E-16,2.03E-15,2.03E-15,7.83E-16,7.83E-16,0.00E+00,7.83E-16,2.03E-15
NT0127,2.53E-14,2.20E-14,1.18E-14,3.25E-14,1.39E-14,3.47E-15,1.39E-14,1.39E-14,3.47E-15,3.47E-15,0.00E+00,3.47E-15,1.39E-14
NT0128,3.66E-15,2.83E-15,1.36E-15,5.70E-15,2.53E-15,1.06E-15,2.53E-15,2.53E-15,1.06E-15,1.06E-15,0.00E+00,1.06E-15,2.53E-15
NT0129,1.56E-14,1.27E-14,7.85E-15,2.32E-14,9.82E-15,3.55E-15,9.82E-15,9.82E-15,3.55E-15,3.55E-15,0.00E+00,3.55E-15,9.82E-15
